UniprotID,Species,Temperature preference,Data Type
P0A086,Staphylococcus aureus,mesophilic,train
P65445,Staphylococcus aureus,mesophilic,train
Q6GGY3,Staphylococcus aureus,mesophilic,train
Q6G9D7,Staphylococcus aureus,mesophilic,train
P0A085,Staphylococcus aureus,mesophilic,train
P80718,Dictyoglomus sp.,thermophilic,train
B1JDY4,Pseudomonas putida,mesophilic,train
Q9I5V6,Pseudomonas aeruginosa,mesophilic,train
Q3K5S2,Pseudomonas fluorescens,mesophilic,train
Q88QU5,Pseudomonas putida,mesophilic,train
Q8DD50,Vibrio vulnificus,mesophilic,train
Q7MQ88,Vibrio vulnificus,mesophilic,train
Q9KVP6,Vibrio cholerae,mesophilic,train
P27506,Klebsiella pneumoniae,mesophilic,train
B7VAB7,Pseudomonas aeruginosa,mesophilic,train
Q02LD5,Pseudomonas aeruginosa,mesophilic,train
Q3BY45,Xanthomonas campestris,mesophilic,train
B0BX67,Rickettsia rickettsii,mesophilic,train
P96132,Thiocapsa roseopersicina,mesophilic,train
P0DL67,Conus suturatus,mesophilic,train
C4K2G3,Rickettsia peacockii,mesophilic,train
K7LAX0,Glycine max,mesophilic,train
Q7NK35,Gloeobacter violaceus,mesophilic,train
A0N4Z3,Homo sapiens,mesophilic,train
A0A0N4UQS1,Dracunculus medinensis,mesophilic,train
Q9I518,Pseudomonas aeruginosa,mesophilic,train
Q03MI2,Streptococcus thermophilus,thermophilic,train
Q5M1K6,Streptococcus thermophilus,thermophilic,train
X8F9E5,Mycobacterium ulcerans,mesophilic,train
Q3BTU8,Xanthomonas campestris,mesophilic,train
P39080,Xenopus laevis,mesophilic,train
Q8ZML5,Salmonella typhimurium,mesophilic,train
Q17638,Caenorhabditis elegans,mesophilic,train
Q0P8U4,Campylobacter jejuni,mesophilic,train
G4LZP0,Schistosoma mansoni,mesophilic,train
Q4CZP6,Trypanosoma cruzi,mesophilic,train
Q2G0P8,Staphylococcus aureus,mesophilic,train
A0A3P7E4A9,Wuchereria bancrofti,mesophilic,train
A0A3P7EBD2,Wuchereria bancrofti,mesophilic,train
Q58141,Methanocaldococcus jannaschii,thermophilic,train
Q4DX57,Trypanosoma cruzi,mesophilic,train
Q8ZQ70,Salmonella typhimurium,mesophilic,train
P71335,Haemophilus influenzae,mesophilic,train
Q8PFH4,Xanthomonas axonopodis,mesophilic,train
Q9PIM2,Campylobacter jejuni,mesophilic,train
Q57614,Methanocaldococcus jannaschii,thermophilic,train
O96810,Skeletonema costatum,mesophilic,train
B8GDW0,Methanosphaerula palustris,mesophilic,train
A7I9N4,Methanoregula boonei,mesophilic,train
P84267,Ranoidea dahlii,mesophilic,train
P0DTT7,Pithecopus nordestinus,mesophilic,train
Q9XJ54,Oryza sativa,mesophilic,train
C0HL85,Panurgus calcaratus,mesophilic,train
B2MZB3,Caenorhabditis elegans,mesophilic,train
P0DKL7,Vipera renardi,mesophilic,train
O27544,Methanothermobacter thermautotrophicus,thermophilic,train
O27114,Methanothermobacter thermautotrophicus,thermophilic,train
P04367,Myoxocephalus scorpius,mesophilic,train
P20421,Myoxocephalus aenaeus,psychrophilic,train
P82680,Prevotella bryantii,mesophilic,train
Q0BPN7,Granulibacter bethesdensis,mesophilic,train
C0HKY7,Conus araneosus,mesophilic,train
P28502,Hirudo medicinalis,mesophilic,train
Q0I1B6,Haemophilus somnus,mesophilic,train
P0A9W7,Escherichia coli,mesophilic,train
F7D3Z4,Mus musculus,mesophilic,train
X8F5C9,Mycobacterium ulcerans,mesophilic,train
K0F448,Nocardia brasiliensis,mesophilic,train
Q68W09,Rickettsia typhi,mesophilic,train
B5EGY0,Geobacter bemidjiensis,mesophilic,train
C0HK08,Cruziohyla calcarifer,mesophilic,train
K7MDG9,Glycine max,mesophilic,train
Q58608,Methanocaldococcus jannaschii,thermophilic,train
K0FEC9,Nocardia brasiliensis,mesophilic,train
X8FN03,Mycobacterium ulcerans,mesophilic,train
Q9HUT8,Pseudomonas aeruginosa,mesophilic,train
Q1GJB3,Ruegeria sp.,mesophilic,train
P84268,Ranoidea dahlii,mesophilic,train
A0A0H3GY24,Klebsiella pneumoniae,mesophilic,train
Q3AJ44,Synechococcus sp.,mesophilic,train
Q9CLG4,Pasteurella multocida,mesophilic,train
Q57VC3,Trypanosoma brucei,mesophilic,train
Q8TQR9,Methanosarcina acetivorans,mesophilic,train
A0A3P7SVP1,Dracunculus medinensis,mesophilic,train
P58503,Pyrococcus horikoshii,thermophilic,train
A2SST9,Methanocorpusculum labreanum,mesophilic,train
Q58735,Methanocaldococcus jannaschii,thermophilic,train
Q3YRL7,Ehrlichia canis,mesophilic,train
J9F8A4,Wuchereria bancrofti,mesophilic,train
Q0P8A1,Campylobacter jejuni,mesophilic,train
Q7CQB7,Salmonella typhimurium,mesophilic,train
Q58599,Methanocaldococcus jannaschii,thermophilic,train
Q0P8Z8,Campylobacter jejuni,mesophilic,train
H2L2J1,Caenorhabditis elegans,mesophilic,train
Q9PIB9,Campylobacter jejuni,mesophilic,train
G4VMG8,Schistosoma mansoni,mesophilic,train
P65947,Streptococcus pneumoniae,mesophilic,train
A0A0D2DSW5,Fonsecaea pedrosoi,mesophilic,train
Q57801,Methanocaldococcus jannaschii,thermophilic,train
P0DOZ6,Conus gloriamaris,mesophilic,train
B3EWR5,Lupinus albus,mesophilic,train
Q58887,Methanocaldococcus jannaschii,thermophilic,train
P54057,Methanocaldococcus jannaschii,thermophilic,train
Q830C9,Enterococcus faecalis,mesophilic,train
A0A0N4U8Q4,Dracunculus medinensis,mesophilic,train
Q54KU7,Dictyostelium discoideum,mesophilic,train
Q8PNR7,Xanthomonas axonopodis,mesophilic,train
A0A0N4U7G2,Dracunculus medinensis,mesophilic,train
A0A3P7DPP8,Wuchereria bancrofti,mesophilic,train
P24744,Solanum tuberosum,mesophilic,train
Q0DDK5,Oryza sativa,mesophilic,train
K0F8P7,Nocardia brasiliensis,mesophilic,train
B0VL72,Acinetobacter baumannii,mesophilic,train
Q7CQH8,Salmonella typhimurium,mesophilic,train
P58035,Escherichia coli,mesophilic,train
Q2KUZ3,Bordetella avium,mesophilic,train
A0A1D6KPF5,Zea mays,mesophilic,train
P0A246,Salmonella typhi,mesophilic,train
Q32DM5,Shigella dysenteriae,mesophilic,train
P0AG03,Escherichia coli,mesophilic,train
A4J127,Desulfotomaculum reducens,mesophilic,train
Q3A6N1,Pelobacter carbinolicus,mesophilic,train
Q98PZ8,Mycoplasma pulmonis,mesophilic,train
Q0ANR6,Maricaulis maris,mesophilic,train
A0A0H3GYK9,Klebsiella pneumoniae,mesophilic,train
Q2SMB8,Hahella chejuensis,mesophilic,train
P0CF01,Dinoponera australis,mesophilic,train
A0A1D6Q179,Zea mays,mesophilic,train
K7LFV0,Glycine max,mesophilic,train
A0QQP8,Mycolicibacterium smegmatis,mesophilic,train
A0A0K0E7B5,Strongyloides stercoralis,mesophilic,train
Q0BPD5,Granulibacter bethesdensis,mesophilic,train
Q97Y45,Saccharolobus solfataricus,thermophilic,train
Q04PP8,Leptospira borgpetersenii,mesophilic,train
A6Q418,Nitratiruptor sp.,mesophilic,train
B8DDP2,Listeria monocytogenes,mesophilic,train
Q71YF6,Listeria monocytogenes,mesophilic,train
Q92AE8,Listeria innocua,mesophilic,train
A0A132ZDF0,Enterococcus faecium,mesophilic,train
Q3IUS0,Natronomonas pharaonis,thermophilic,train
P85431,Cycas revoluta,mesophilic,train
Q4E243,Trypanosoma cruzi,mesophilic,train
A0A0P0WPI8,Oryza sativa,mesophilic,train
P56507,Haemophilus influenzae,mesophilic,train
B7J0I6,Borrelia burgdorferi,mesophilic,train
Q8ZSU2,Pyrobaculum aerophilum,thermophilic,train
P85102,Cullen corylifolium,mesophilic,train
C5A7H3,Thermococcus gammatolerans,thermophilic,train
P82044,Uperoleia mjobergii,mesophilic,train
A0A3Q0KKV0,Schistosoma mansoni,mesophilic,train
Q89WY0,Bradyrhizobium diazoefficiens,mesophilic,train
C0HLG2,Trachyspermum ammi,mesophilic,train
Q568P1,Danio rerio,mesophilic,train
Q28C98,Xenopus tropicalis,mesophilic,train
P84384,Xenopus tropicalis,mesophilic,train
P82301,Homarus americanus,mesophilic,train
Q2G298,Staphylococcus aureus,mesophilic,train
P37590,Escherichia coli,mesophilic,train
Q32DS9,Shigella dysenteriae,mesophilic,train
P80787,Nicotiana tabacum,mesophilic,train
O26058,Helicobacter pylori,mesophilic,train
P85959,Pseudotsuga menziesii,mesophilic,train
A3LVK6,Scheffersomyces stipitis,mesophilic,train
O07530,Bacillus subtilis,mesophilic,train
O29150,Archaeoglobus fulgidus,thermophilic,train
Q03RM5,Levilactobacillus brevis,mesophilic,train
Q8CT04,Staphylococcus epidermidis,mesophilic,train
Q5HQ56,Staphylococcus epidermidis,mesophilic,train
Q47GU0,Dechloromonas aromatica,mesophilic,train
A0A132Z1Z8,Enterococcus faecium,mesophilic,train
A6M163,Clostridium beijerinckii,mesophilic,train
O51683,Borrelia burgdorferi,mesophilic,train
Q0SMB6,Borrelia afzelii,mesophilic,train
Q660D3,Borrelia bavariensis,mesophilic,train
Q93EU7,Enterococcus faecalis,mesophilic,train
Q2QWU3,Oryza sativa,mesophilic,train
Q8KA49,Buchnera aphidicola,mesophilic,train
A0A0A0MT70,Homo sapiens,mesophilic,train
A0A0B4J1P6,Mus musculus,mesophilic,train
A0A0B4J1P9,Mus musculus,mesophilic,train
Q32FD4,Shigella dysenteriae,mesophilic,train
Q0VPA8,Alcanivorax borkumensis,mesophilic,train
Q03708,Escherichia coli,mesophilic,train
P13479,Escherichia coli,mesophilic,train
P13478,Escherichia coli,mesophilic,train
P09881,Escherichia coli,mesophilic,train
Q55B20,Dictyostelium discoideum,mesophilic,train
A1JPN4,Yersinia enterocolitica,mesophilic,train
A0A1I9LPI9,Arabidopsis thaliana,mesophilic,train
C1DD72,Laribacter hongkongensis,mesophilic,train
A0A1D8PLE7,Candida albicans,mesophilic,train
A0A2K5ATY1,Caenorhabditis elegans,mesophilic,train
X8FQ89,Mycobacterium ulcerans,mesophilic,train
B1YGB0,Exiguobacterium sibiricum,mesophilic,train
B7IST7,Bacillus cereus,mesophilic,train
A7GVQ0,Bacillus cytotoxicus,thermophilic,train
B9IT45,Bacillus cereus,mesophilic,train
B1GYK8,Endomicrobium trichonymphae,mesophilic,train
Q9XX57,Caenorhabditis elegans,mesophilic,train
Q2RJT6,Moorella thermoacetica,thermophilic,train
A0A1C1D036,Cladophialophora carrionii,mesophilic,train
C1HC22,Paracoccidioides lutzii,mesophilic,train
P86249,Mesocricetus auratus,mesophilic,train
Q6FB57,Acinetobacter baylyi,mesophilic,train
Q1BD95,Mycobacterium sp.,mesophilic,train
B0BCF7,Chlamydia trachomatis,mesophilic,train
Q89J94,Bradyrhizobium diazoefficiens,mesophilic,train
Q09610,Caenorhabditis elegans,mesophilic,train
B8ZRE4,Mycobacterium leprae,mesophilic,train
X8FAH5,Mycobacterium ulcerans,mesophilic,train
P60535,Corynebacterium diphtheriae,mesophilic,train
Q8FTD4,Corynebacterium efficiens,mesophilic,train
Q5YUV8,Nocardia farcinica,mesophilic,train
Q47TK1,Thermobifida fusca,thermophilic,train
A3Q1B0,Mycobacterium sp.,mesophilic,train
B1MPG1,Mycobacteroides abscessus,mesophilic,train
A4TB82,Mycolicibacterium gilvum,mesophilic,train
K0EUB7,Nocardia brasiliensis,mesophilic,train
A1TAR6,Mycolicibacterium vanbaalenii,mesophilic,train
C5C6A2,Beutenbergia cavernae,mesophilic,train
A1UHU4,Mycobacterium sp.,mesophilic,train
A0A5K4F6M2,Schistosoma mansoni,mesophilic,train
P82034,Uperoleia inundata,mesophilic,train
P82032,Uperoleia inundata,mesophilic,train
P82033,Uperoleia inundata,mesophilic,train
P60833,Saccharolobus solfataricus,thermophilic,train
A0A175VNU3,Madurella mycetomatis,mesophilic,train
P82428,Neoponera goeldii,mesophilic,train
P0DSM3,Neoponera inversa,mesophilic,train
A0A1D6I0F2,Zea mays,mesophilic,train
K7K5M4,Glycine max,mesophilic,train
Q1G3M2,Arabidopsis thaliana,mesophilic,train
P85220,Staphylococcus cohnii,mesophilic,train
P85223,Staphylococcus cohnii,mesophilic,train
P0DTT9,Pithecopus nordestinus,mesophilic,train
P82844,Lithobates pipiens,mesophilic,train
P80705,Comamonas testosteroni,mesophilic,train
K7MQU5,Glycine max,mesophilic,train
A0A0D2H3Q8,Fonsecaea pedrosoi,mesophilic,train
Q0P891,Campylobacter jejuni,mesophilic,train
Q57579,Methanocaldococcus jannaschii,thermophilic,train
B2HZA0,Acinetobacter baumannii,mesophilic,train
A0A0N4UFR2,Dracunculus medinensis,mesophilic,train
Q58602,Methanocaldococcus jannaschii,thermophilic,train
Q661D4,Borrelia bavariensis,mesophilic,train
B2SDK3,Francisella tularensis,mesophilic,train
Q5NGX3,Francisella tularensis,mesophilic,train
Q0P9Z4,Campylobacter jejuni,mesophilic,train
Q57607,Methanocaldococcus jannaschii,thermophilic,train
A0A5K4F4G9,Schistosoma mansoni,mesophilic,train
Q54CJ9,Dictyostelium discoideum,mesophilic,train
Q58152,Methanocaldococcus jannaschii,thermophilic,train
P81327,Methanocaldococcus jannaschii,thermophilic,train
A5FY40,Acidiphilium cryptum,mesophilic,train
P86415,Halocynthia papillosa,psychrophilic,train
P0C1H2,Actinia equina,mesophilic,train
Q1H4U1,Methylobacillus flagellatus,mesophilic,train
Q667R0,Yersinia pseudotuberculosis,mesophilic,train
Q8ZDB1,Yersinia pestis,mesophilic,train
Q89AS6,Buchnera aphidicola,mesophilic,train
O28496,Archaeoglobus fulgidus,thermophilic,train
Q1MFT8,Rhizobium leguminosarum,mesophilic,train
Q1QWG7,Chromohalobacter salexigens,mesophilic,train
A0B571,Methanothrix thermoacetophila,thermophilic,train
Q0P8Z2,Campylobacter jejuni,mesophilic,train
Q2FTA2,Methanospirillum hungatei,mesophilic,train
P82833,Lithobates berlandieri,mesophilic,train
P82836,Lithobates berlandieri,mesophilic,train
P82835,Lithobates berlandieri,mesophilic,train
A0A0D2GVQ1,Fonsecaea pedrosoi,mesophilic,train
Q9PLY8,Campylobacter jejuni,mesophilic,train
Q54I62,Dictyostelium discoideum,mesophilic,train
Q4CQY5,Trypanosoma cruzi,mesophilic,train
A0A3P7DRI3,Wuchereria bancrofti,mesophilic,train
A0A0P0X2H5,Oryza sativa,mesophilic,train
Q8DNN2,Streptococcus pneumoniae,mesophilic,train
Q4DQJ4,Trypanosoma cruzi,mesophilic,train
A0A0H3H017,Klebsiella pneumoniae,mesophilic,train
C0HKL7,Xenopus boumbaensis,mesophilic,train
C0HKN9,Xenopus ruwenzoriensis,psychrophilic,train
P0C1Z4,Opisthacanthus madagascariensis,mesophilic,train
Q9PRQ4,Micrurus nigrocinctus,mesophilic,train
Q4FLN4,Pelagibacter ubique,mesophilic,train
A0A0K0IPM1,Brugia malayi,mesophilic,train
H9G2S1,Caenorhabditis elegans,mesophilic,train
P84277,Lithobates palustris,mesophilic,train
P12800,Canis lupus,mesophilic,train
Q8LDI5,Arabidopsis thaliana,mesophilic,train
Q8RHA6,Fusobacterium nucleatum,mesophilic,train
Q74HL8,Lactobacillus johnsonii,mesophilic,train
Q8ZKT1,Salmonella typhimurium,mesophilic,train
P83155,Anabaena sp.,mesophilic,train
P86114,Opisthacanthus cayaporum,mesophilic,train
C0HKN6,Xenopus ruwenzoriensis,psychrophilic,train
C6BV78,Desulfovibrio salexigens,mesophilic,train
P00098,Rhodocyclus tenuis,mesophilic,train
E2JL07,Caenorhabditis elegans,mesophilic,train
A0A3P7PPH9,Dracunculus medinensis,mesophilic,train
Q81VU6,Bacillus anthracis,mesophilic,train
Q0PB25,Campylobacter jejuni,mesophilic,train
P82841,Lithobates pipiens,mesophilic,train
P82845,Lithobates pipiens,mesophilic,train
Q20976,Caenorhabditis elegans,mesophilic,train
A0A0P0VWV5,Oryza sativa,mesophilic,train
Q9ZKQ6,Helicobacter pylori,mesophilic,train
X8FKC2,Mycobacterium ulcerans,mesophilic,train
B1L242,Clostridium botulinum,mesophilic,train
Q44428,Actinoplanes teichomyceticus,mesophilic,train
B6YWG5,Thermococcus onnurineus,thermophilic,train
P59734,Pyrococcus horikoshii,thermophilic,train
Q5JG00,Thermococcus kodakarensis,thermophilic,train
Q9UZT8,Pyrococcus abyssi,thermophilic,train
C6A4F1,Thermococcus sibiricus,thermophilic,train
A0A3P7DR33,Wuchereria bancrofti,mesophilic,train
A0A5K4F5C6,Schistosoma mansoni,mesophilic,train
A0A3P7G749,Wuchereria bancrofti,mesophilic,train
P83547,Pagrus major,mesophilic,train
C0HKH4,Chassalia chartacea,mesophilic,train
Q09124,Lactococcus lactis,mesophilic,train
Q21FZ9,Saccharophagus degradans,mesophilic,train
Q9EYQ9,Staphylococcus xylosus,mesophilic,train
P72248,Rhodobacter capsulatus,mesophilic,train
Q6A5L3,Cutibacterium acnes,mesophilic,train
P14477,Sus scrofa,mesophilic,train
P0DKX1,Daboia russelii,mesophilic,train
Q94BZ4,Arabidopsis thaliana,mesophilic,train
Q58062,Methanocaldococcus jannaschii,thermophilic,train
Q9PNI9,Campylobacter jejuni,mesophilic,train
Q65UA8,Mannheimia succiniciproducens,mesophilic,train
C0HL08,Nidirana okinavana,mesophilic,train
P86122,Crinia signifera,mesophilic,train
Q54MD9,Dictyostelium discoideum,mesophilic,train
B1LKM2,Escherichia coli,mesophilic,train
Q7N765,Photorhabdus laumondii,mesophilic,train
B2K876,Yersinia pseudotuberculosis,mesophilic,train
B5FMN2,Salmonella dublin,mesophilic,train
A4TP07,Yersinia pestis,mesophilic,train
P67537,Salmonella typhimurium,mesophilic,train
A7MK40,Cronobacter sakazakii,mesophilic,train
Q9KTF7,Vibrio cholerae,mesophilic,train
A6T692,Klebsiella pneumoniae,mesophilic,train
A9MKE1,Salmonella arizonae,mesophilic,train
A5F2Y2,Vibrio cholerae,mesophilic,train
A0A0H3GJY1,Klebsiella pneumoniae,mesophilic,train
B1JGB5,Yersinia pseudotuberculosis,mesophilic,train
A1A8Q6,Escherichia coli,mesophilic,train
A7ZXQ8,Escherichia coli,mesophilic,train
B5R7Y4,Salmonella gallinarum,mesophilic,train
C5BGD7,Edwardsiella ictaluri,mesophilic,train
P82422,Neoponera goeldii,mesophilic,train
P82421,Neoponera goeldii,mesophilic,train
P0DSJ3,Neoponera inversa,mesophilic,train
P68170,Erythrina corallodendron,mesophilic,train
C1P608,Escherichia coli,mesophilic,train
C3MR79,Sulfolobus islandicus,thermophilic,train
Q09412,Caenorhabditis elegans,mesophilic,train
B6IFG5,Caenorhabditis briggsae,mesophilic,train
A0A0H3GKC3,Klebsiella pneumoniae,mesophilic,train
P82304,Maja squinado,mesophilic,train
Q8ZDG8,Yersinia pestis,mesophilic,train
P82305,Maja squinado,mesophilic,train
B7NLZ0,Escherichia coli,mesophilic,train
B5QVN7,Salmonella enteritidis,mesophilic,train
M9PI14,Drosophila melanogaster,mesophilic,train
Q8SSN5,Dictyostelium discoideum,mesophilic,train
P0DMB6,Vespa velutina,mesophilic,train
P61388,Corynebacterium diphtheriae,mesophilic,train
C3LTJ3,Vibrio cholerae,mesophilic,train
B5XZS3,Klebsiella pneumoniae,mesophilic,train
B7LLI1,Escherichia fergusonii,mesophilic,train
Q5QYE7,Idiomarina loihiensis,mesophilic,train
P67538,Salmonella typhi,mesophilic,train
B5EZ76,Salmonella agona,mesophilic,train
B4TPA7,Salmonella schwarzengrund,mesophilic,train
B5BCF8,Salmonella paratyphi,mesophilic,train
B7L9H5,Escherichia coli,mesophilic,train
Q66DF3,Yersinia pseudotuberculosis,mesophilic,train
B4TAI9,Salmonella heidelberg,mesophilic,train
Q0T6P1,Shigella flexneri,mesophilic,train
B7M5F8,Escherichia coli,mesophilic,train
B2TU87,Shigella boydii,mesophilic,train
Q1CKR4,Yersinia pestis,mesophilic,train
Q324R2,Shigella boydii,mesophilic,train
A1JPR7,Yersinia enterocolitica,mesophilic,train
P0A8J5,Escherichia coli,mesophilic,train
Q32IU9,Shigella dysenteriae,mesophilic,train
B5YQI2,Escherichia coli,mesophilic,train
A9R701,Yersinia pestis,mesophilic,train
B2VBJ9,Erwinia tasmaniensis,mesophilic,train
P0A8J7,Shigella flexneri,mesophilic,train
B7MRR8,Escherichia coli,mesophilic,train
G4VHI6,Schistosoma mansoni,mesophilic,train
Q9RUT7,Deinococcus radiodurans,mesophilic,train
C1CUU1,Deinococcus deserti,mesophilic,train
A0A0N4UJQ6,Dracunculus medinensis,mesophilic,train
A0A183Y3T1,Wuchereria bancrofti,mesophilic,train
Q0P8M7,Campylobacter jejuni,mesophilic,train
P43934,Haemophilus influenzae,mesophilic,train
Q2FXK3,Staphylococcus aureus,mesophilic,train
Q57631,Methanocaldococcus jannaschii,thermophilic,train
Q2FWB7,Staphylococcus aureus,mesophilic,train
P26317,Heliothis virescens,mesophilic,train
Q8T8M2,Dictyostelium discoideum,mesophilic,train
P83573,Aralia elata,mesophilic,train
B3EWH4,Peganum harmala,mesophilic,train
P09689,Electrophorus electricus,mesophilic,train
Q31IJ9,Hydrogenovibrio crunogenus,mesophilic,train
A0A1D6Q3C0,Zea mays,mesophilic,train
X8F5X0,Mycobacterium ulcerans,mesophilic,train
P82031,Uperoleia inundata,mesophilic,train
Q7N360,Photorhabdus laumondii,mesophilic,train
P82291,Ectothiorhodospira shaposhnikovii,mesophilic,train
X8FJU0,Mycobacterium ulcerans,mesophilic,train
C1GRL3,Paracoccidioides lutzii,mesophilic,train
C0HK09,Cruziohyla calcarifer,mesophilic,train
P58689,Heteractis magnifica,mesophilic,train
A0A175W7T4,Madurella mycetomatis,mesophilic,train
C1GZS1,Paracoccidioides lutzii,mesophilic,train
Q53LU8,Oryza sativa,mesophilic,train
Q6LQ38,Photobacterium profundum,psychrophilic,train
Q7ML77,Vibrio vulnificus,mesophilic,train
Q2G265,Staphylococcus aureus,mesophilic,train
Q54U34,Dictyostelium discoideum,mesophilic,train
Q58855,Methanocaldococcus jannaschii,thermophilic,train
Q9PJ01,Campylobacter jejuni,mesophilic,train
B9L6B5,Nautilia profundicola,thermophilic,train
X8EZ86,Mycobacterium ulcerans,mesophilic,train
B2GBB8,Lactobacillus fermentum,mesophilic,train
F6QIW7,Mus musculus,mesophilic,train
A0A2K6VMB5,Onchocerca volvulus,mesophilic,train
Q326Q9,Shigella dysenteriae,mesophilic,train
A0A1D8PQX5,Candida albicans,mesophilic,train
P55901,Aeromonas hydrophila,mesophilic,train
Q04730,Geobacillus stearothermophilus,thermophilic,train
P15526,Pelodictyon luteolum,mesophilic,train
P02989,Escherichia coli,mesophilic,train
B1VAN7,Phytoplasma australiense,mesophilic,train
A0A3P7DZX0,Wuchereria bancrofti,mesophilic,train
P85090,Leptodactylus ocellatus,mesophilic,train
Q9UR66,Candida albicans,mesophilic,train
A1S4C1,Shewanella amazonensis,mesophilic,train
F1QL69,Danio rerio,mesophilic,train
P83368,Lupinus luteus,mesophilic,train
Q3A2F4,Pelobacter carbinolicus,mesophilic,train
P82393,Ranoidea raniformis,mesophilic,train
A0A1D6GWM7,Zea mays,mesophilic,train
C1P610,Escherichia coli,mesophilic,train
P39085,Triticum aestivum,mesophilic,train
Q73M76,Treponema denticola,mesophilic,train
O02156,Caenorhabditis elegans,mesophilic,train
Q49L01,Eucalyptus globulus,mesophilic,train
P12194,Oryza sativa,mesophilic,train
A0A5K4EDJ8,Schistosoma mansoni,mesophilic,train
A4WFD6,Enterobacter sp.,mesophilic,train
C0HL10,Nidirana okinavana,mesophilic,train
C0HL11,Nidirana okinavana,mesophilic,train
K7MX43,Glycine max,mesophilic,train
P11094,Chlamydomonas reinhardtii,mesophilic,train
A4YBX3,Shewanella putrefaciens,mesophilic,train
Q1LI47,Cupriavidus metallidurans,mesophilic,train
A4YSK2,Bradyrhizobium sp.,mesophilic,train
Q4FUE6,Psychrobacter arcticus,psychrophilic,train
A0QL02,Mycobacterium avium,mesophilic,train
Q2K9K6,Rhizobium etli,mesophilic,train
B2ITP5,Nostoc punctiforme,mesophilic,train
A9FGI0,Sorangium cellulosum,mesophilic,train
P66070,Mycobacterium bovis,mesophilic,train
A3PVD5,Mycobacterium sp.,mesophilic,train
B6J253,Coxiella burnetii,mesophilic,train
B2A4E9,Natranaerobius thermophilus,thermophilic,train
Q8K960,Buchnera aphidicola,mesophilic,train
C4L7U0,Tolumonas auensis,mesophilic,train
B0TC66,Heliobacterium modesticaldum,thermophilic,train
Q5WZK2,Legionella pneumophila,mesophilic,train
Q6A6N6,Cutibacterium acnes,mesophilic,train
O21251,Reclinomonas americana,mesophilic,train
B8I7Y9,Ruminiclostridium cellulolyticum,mesophilic,train
B6YQ75,Azobacteroides pseudotrichonymphae,mesophilic,train
Q5FTZ3,Gluconobacter oxydans,mesophilic,train
Q3ZJ83,Tupiella akineta,mesophilic,train
Q19VB2,Chlorokybus atmophyticus,mesophilic,train
B0UHV9,Methylobacterium sp.,mesophilic,train
Q3A9S6,Carboxydothermus hydrogenoformans,thermophilic,train
B8J870,Anaeromyxobacter dehalogenans,mesophilic,train
Q3B6F2,Chlorobium luteolum,mesophilic,train
P33100,Micrococcus luteus,mesophilic,train
Q3SSV6,Nitrobacter winogradskyi,mesophilic,train
A8ZV67,Desulfococcus oleovorans,mesophilic,train
Q32RN4,Zygnema circumcarinatum,mesophilic,train
Q83ER6,Coxiella burnetii,mesophilic,train
Q6NJC2,Corynebacterium diphtheriae,mesophilic,train
B3QR72,Chlorobaculum parvum,mesophilic,train
A4QK54,Arabis hirsuta,mesophilic,train
Q8RIG5,Fusobacterium nucleatum,mesophilic,train
B1MGD7,Mycobacteroides abscessus,mesophilic,train
C5CGQ4,Kosmotoga olearia,thermophilic,train
Q3BWX3,Xanthomonas campestris,mesophilic,train
P47407,Mycoplasma genitalium,mesophilic,train
Q07KM8,Rhodopseudomonas palustris,mesophilic,train
B3EUL3,Amoebophilus asiaticus,mesophilic,train
P06381,Marchantia polymorpha,mesophilic,train
Q9Z7R7,Chlamydia pneumoniae,mesophilic,train
Q2VEE4,Solanum tuberosum,mesophilic,train
B7K238,Rippkaea orientalis,mesophilic,train
Q06SH0,Stigeoclonium helveticum,mesophilic,train
P23405,Cyanophora paradoxa,mesophilic,train
Q5L413,Geobacillus kaustophilus,thermophilic,train
B2FQJ4,Stenotrophomonas maltophilia,mesophilic,train
Q605C2,Methylococcus capsulatus,mesophilic,train
B0RU72,Xanthomonas campestris,mesophilic,train
B0B892,Chlamydia trachomatis,mesophilic,train
Q0P7T4,Campylobacter jejuni,mesophilic,train
A0PM75,Mycobacterium ulcerans,mesophilic,train
A1T4R6,Mycolicibacterium vanbaalenii,mesophilic,train
A9B421,Herpetosiphon aurantiacus,mesophilic,train
Q73S98,Mycolicibacterium paratuberculosis,mesophilic,train
C1B022,Rhodococcus opacus,mesophilic,train
A6MM73,Buxus microphylla,mesophilic,train
A4QBJ4,Corynebacterium glutamicum,mesophilic,train
Q28UU4,Jannaschia sp.,mesophilic,train
Q824P1,Chlamydophila caviae,mesophilic,train
A5U0A0,Mycobacterium tuberculosis,mesophilic,train
Q3J8S4,Nitrosococcus oceani,mesophilic,train
P41633,Pinus thunbergii,mesophilic,train
Q8NL02,Xanthomonas axonopodis,mesophilic,train
A1KGJ5,Mycobacterium bovis,mesophilic,train
C4LL26,Corynebacterium kroppenstedtii,mesophilic,train
B2JI55,Paraburkholderia phymatum,mesophilic,train
B1YGW0,Exiguobacterium sibiricum,mesophilic,train
Q5GWU4,Xanthomonas oryzae,mesophilic,train
C1AL48,Mycobacterium bovis,mesophilic,train
A0K3N5,Burkholderia cenocepacia,mesophilic,train
Q7VGD4,Helicobacter hepaticus,mesophilic,train
Q0VSJ3,Alcanivorax borkumensis,mesophilic,train
